Code;Course Name;Professor;Sessions;Incompatibilities
1;"ADVANCED FINANCIAL STATEMENTS ANALYSIS
Control";Álvaro García Soto;15.0;5, 7, 7, 7, 17, 18, 20, 21, 33, 34, 34, 45, 46, 50, 52, 54, 61, 64, 68, 70
3;"AI AND DATA SCIENCE: FROM STRATEGY TO IMPLEMENTATION
Info Systems";JAUME MANERO FONT;15.0;6, 8, 26, 36, 42, 49, 52, 58, 62, 67, 68, 70
4;"AI-POWERED MARKETING
Marketing";PABLO JOSÉ CONTRERAS;15.0;5, 6, 13, 16, 20, 32, 36, 45, 48, 63, 64
5;"ALL ABOUT VALUATION IN 2025
Finance";FRANCISCO JESUS LOPEZ LUBIAN;15.0;1, 4, 7, 17, 17, 20, 20, 21, 32, 34, 46, 46, 57, 62, 62, 63, 65, 68, 68, 70
6;"BLOCKCHAIN IN THE BUSINESS WORLD
Info Systems";Alexandr Chevtaev ;15.0;3, 4, 8, 8, 13, 16, 26, 36, 48
7;"BUILDING FINANCIAL PROJECTIONS
Control";ANA HERNANDEZ-ROS OTAMENDI, Enrique Fernández de la Puebla Otamendi;15.0;1, 1, 5, 17, 20, 24, 34, 34, 46, 47, 61, 62, 64, 66, 68, 70
8;"BUILDING STARTUPS WITH NO CODE, LOW CODE AND AI
Info Systems";Manoel Fernando Gadi Alonso;15.0;3, 6, 6, 26, 36, 42, 46, 52, 69, 71
9;"ARTURO CUENLLAS
Human Resources and Organizational Behaviour";COMMUNICATION WITH IMPACT TEDX;15.0;11, 12, 18, 26, 26, 27, 32, 40, 42, 42, 47, 50, 50, 53, 61, 62
17;"EQUITY DERIVATIVES TRADING
Finance";FERNANDO CAVIA VICENTE;15.0;1, 5, 5, 7, 20, 20, 21, 21, 21, 34, 40, 46, 46, 47, 49, 57, 62, 62, 68, 68, 70, 71
18;"EU FUNDING INSTRUMENTS FOR TECH STARTUPS/SMES
Entrepreneurship";Giancarlo Pastor Figueroa;15.0;1, 9, 12, 19, 22, 23, 24, 27, 27, 40, 51, 52, 54, 59, 59, 61, 62, 63, 63, 64, 66, 67, 70
19;"FAMILY BUSINESS AND FAMILIES IN BUSINESS (A)
Entrepreneurship";Cristina María Cruz Serrano;15.0;18, 21, 22, 22, 23, 24, 27, 38, 38, 40, 42, 45, 46, 47, 51, 52, 57, 59, 63, 67, 71
20;"FINANCE CONSULTING (A)
Finance";Javier Hernando Guijarro;15.0;1, 4, 5, 5, 7, 17, 17, 21, 21, 21, 22, 31, 33, 34, 36, 37, 38, 46, 46, 57, 57, 62, 62, 63, 66, 68, 70, 71
21;"FINANCE FOR STRATEGIC BUSINESS DECISIONS
Finance";MAR LOPEZ NAVARRO;15.0;1, 5, 17, 17, 17, 19, 20, 20, 20, 31, 34, 37, 38, 46, 46, 47, 49, 57, 62, 63, 68, 68, 70, 70, 71, 71
22;"FINANCING YOUR STARTUP, FROM VC TO PE
Entrepreneurship";IGNACIO LARRU MARTÍNEZ;15.0;18, 19, 19, 20, 23, 24, 24, 27, 29, 31, 34, 38, 46, 51, 53, 57, 59, 62, 63, 67, 68, 71
23;"FROM 0 TO 1BN$ : BUILDING A SAAS UNICORN
Entrepreneurship";Olivier Pailhes ;15.0;18, 19, 22, 24, 27, 34, 46, 49, 51, 51, 57, 59, 62, 63, 67, 71
26;"HANDS-ON ECOMMERCE AND DIGITAL STRATEGY
Info Systems";EDUARDO PEDREÑO BERNAL;15.0;3, 6, 8, 9, 11, 33, 36, 40, 42, 47, 53, 62
27;"HOW TO CONQUER THE EU INNOVATION MARKET
Entrepreneurship";ALEJANDRO BARRERA GARCIA-OREA;15.0;9, 18, 18, 19, 22, 23, 24, 31, 50, 51, 52, 59, 63, 63, 67, 71
29;" INTERNATIONAL STRATEGY SIMULATION
Strategy";JOSE ANTONIO MARTINEZ MARCOS;15.0;22, 31, 33, 49, 52, 53, 63, 69
33;"LUXURY STRATEGY (A) 
Strategy";DAVID MILLAN PLANELLES;15.0;1, 1, 1, 5, 7, 7, 7, 17, 20, 21, 22, 23, 24, 34, 44, 46, 47, 49, 50, 53, 54, 57, 61, 61, 61, 62, 66, 70
34;"M&A, FINANCIAL REPORTING & CAPITAL MARKETS
Control";Martin Glaum ;15.0;33, 33, 44, 45, 48, 53, 54, 64, 65, 69
36;"DUSHINKA KARANI
Marketing";MARKETING IN FASHION & LUXURY;15.0;3, 4, 6, 8, 11, 12, 13, 16, 20, 24, 26, 42, 45, 46, 52, 61, 62, 64, 68, 69, 71
37;"MARKETING STRATEGY FOR DECISION MAKING
Marketing and Communication";RAMON DIAZ BERNARDO;15.0;16, 19, 20, 21, 33, 44, 48, 49, 54, 57, 57, 63, 67, 69, 71
38;"MASTERING SALES AND OPERATIONS PLANNING
Operations and Business Analytics";Gamaliel Martinez Muñoz;15.0;12, 17, 19, 19, 20, 21, 22, 33, 46, 53, 57, 59, 62, 62, 67, 69, 70, 71, 71
40;"NEGOTIATION
Negotiation";ENRIQUE PEÑA PEREZ;15.0;9, 9, 11, 12, 12, 18, 26, 32, 42, 50, 53, 57, 61, 62, 71
44;"PRODUCT MANAGEMENT: FROM IDEATION TO MARKET SUCCESS
Operations and Business Analytics";Pablo Delgado Cano;15.0;4, 33, 34, 36, 50, 57, 64, 71
46;"REAL ESTATE FINANCE (A)
Finance";ROBERTO KNOP MUSZYNSKI;15.0;8, 13, 17, 19, 21, 31, 33, 34, 36, 46, 54, 57, 66, 66, 69, 70, 71
47;"RISK MANAGEMENT AND BUSINESS OPPORTUNITIES 
Economics";PABLO NEIRA DE ALVEAR, MIKEL AGUIRRE UZQUIANO;15.0;7, 9, 11, 26, 37, 42, 45, 52, 54, 57, 65, 67, 71
48;"SPORTS MARKETING AND VALUE CREATION
Marketing and Communication";Eduardo Fernandez-Cantelli ;15.0;3, 4, 6, 11, 13, 16, 17, 21, 23, 34, 37
49;"SQL FOR BUSINESS: UNLOCKING DATA INSIGHTS WITHOUT A TECHNICAL BACKGROUND
Computer Science";LUIS REINA JULIA;15.0;9, 12, 29, 31, 32, 34, 37, 42, 46, 63
51;"STARTUP REALITIES
Entrepreneurship";Wassim Berro ;15.0;23, 29, 33, 53, 69
53;"SUCCESSFUL EARLY LEADERSHIP
Strategy";ROY RICHARDS ;15.0;9, 11, 16, 22, 24, 26, 33, 34, 38, 38, 40, 44, 61, 62, 66
57;"THE ART OF WAR IN BUSINESS (A)
Humanities";Bjorn Beam , BRENDAN FINBARR ANGLIN ;15.0;5, 20, 33, 37, 57, 57, 63, 65, 71, 71
58;"THE PRICE OF AN ARTWORK
Humanities";Bigna Pfenninger , Sophie Neuendorf ;15.0;3, 18, 19, 22, 23, 24, 27, 51, 52, 63, 67, 68, 70
59;"TRANSFORMING BUSINESS DEVELOPMENT IN THE AGE OF AI
Entrepreneurship";Max Joseph Rascher ;15.0;1, 7, 7, 12, 18, 34, 34, 38, 62, 64, 66
62;"VENTURE CAPITAL
Finance";Pablo SOLER BACH;15.0;3, 7, 9, 11, 12, 18, 18, 18, 19, 22, 23, 24, 26, 27, 27, 36, 38, 40, 51, 53, 59, 61, 67, 68
64;"VICTOR GAY ZARAGOZA
Marketing";WIN ANY PITCH WITH STORY SELLING;15.0;1, 4, 7, 12, 18, 24, 34, 36, 45, 45, 47, 54, 59, 70
65;"MARKETING IN ENTERTAINMENT: A DOUBLE-DIGIT GROWTH INDUSTRY
Marketing and Communication";Juan Manuel Alonso Melo;15.0;5, 13, 20, 31, 32, 34, 47, 47, 47, 57, 57, 63, 68, 71
66;"COUNTRY ECONOMIC ANALYSIS
Economics";Gonzalo Garland Hilbck;15.0;7, 18, 18, 19, 22, 23, 24, 24, 27, 38, 40, 51, 52, 53, 59, 59, 63
67;"FAMILY BUSINESS AND FAMILIES IN BUSINESS (B)
Entrepreneurship";Cristina María Cruz Serrano;15.0;1, 3, 5, 5, 7, 17, 17, 20, 21, 21, 22, 33, 46, 46, 47, 62, 62, 66, 68, 70
69;"LUXURY STRATEGY (B) 
Strategy";DAVID MILLAN PLANELLES;15.0;8, 12, 17, 19, 20, 21, 22, 23, 24, 32, 33, 36, 38, 40, 42, 45, 46, 46, 47, 48, 52, 53, 54, 57, 57, 58, 58, 66, 71
70;"REAL ESTATE FINANCE (B)
Finance";ROBERTO KNOP MUSZYNSKI;15.0;3, 18, 20, 26, 29, 33, 37, 38, 40, 42, 44, 46, 47, 52, 53, 57, 58, 58, 64, 65, 68, 69, 71
71;"THE ART OF WAR IN BUSINESS (B)
Humanities";Bjorn Beam , BRENDAN FINBARR ANGLIN ;15.0;8, 11, 21, 27, 29, 31, 33, 36, 37, 38, 38, 40, 50, 52, 53, 69
